time,close,high,low,open,volumefrom,volumeto
1421712000,232.7,238.78,203.42,215.87,134374.59,29825071.28
1421971200,252.09,256.43,224.84,232.7,121594.84,29376800.09
1422230400,236.17,310.91,228.06,252.09,219745.94,58817895.83
1422489600,218.51,244.83,216.46,236.17,144866.8,33685331.25
1422748800,227.41,247.48,209.71,218.51,143258.01,33024087.73
1423008000,222.96,230.71,214.35,227.41,148400.58,33179531.61
1423267200,220.34,231,215.66,222.96,160496.69,35804288.4
1423526400,221.79,223.53,214.44,220.34,207989.61,45871175.21
1423785600,233.27,264.57,220.62,221.79,425192.38,103477851.39
1424044800,235.2,247.17,228.01,233.27,331389.54,78927577.6
1424304000,244.41,247.76,234.87,235.2,192590.77,46858078.35
1424563200,238.89,246.54,231.33,244.41,183406.42,43751860.33
1424822400,253.47,258.72,233.5,238.89,256775.65,63440145.83
1425081600,273.75,274.8,244.77,253.47,171829.98,44526281.51
1425340800,275.23,287.06,262.81,273.75,427458.24,117906975.37
1425600000,274.49,278.78,269.02,275.23,209912.92,57625773.86
1425859200,295.6,300.96,273.79,274.49,389929.17,113459672.17
1426118400,281.6,296.98,279.3,295.6,280383.36,81392240.5
1426377600,285.38,294.01,280.37,281.6,170808.66,49370139.36
1426636800,261.78,285.65,247,285.38,440263.9,115769503.9
1426896000,265.46,271.01,254.02,261.78,189735.05,50144050.31
1427155200,248.02,267.02,234.84,265.46,371998.3,92537893.99
1427414400,242.08,254.25,238.93,248.02,195161.22,48406108.23
1427673600,246.24,248.83,236.55,242.08,227741.42,55892032.76
1427932800,252.89,256.53,244.25,246.24,183822.71,46423650.24
1428192000,252.97,261.45,250.15,252.89,134553.88,34535721.42
1428451200,234.73,254.26,231.3,252.97,272039.21,65976751.65
1428710400,223.59,240,220.36,234.73,190169.2,44116974.35
1428969600,227.98,229.53,214.27,223.59,277305.8,61730002.71
1429228800,223.02,229.28,220.56,227.98,138956.93,31152583.15
1429488000,233.78,238.4,221.58,223.02,190779.95,44021572.11
1429747200,226.14,236.55,223.05,233.78,156016.79,36219456.11
1430006400,225.81,242.65,214.14,226.14,290147.69,64681589.51
1430265600,233.21,240.01,222.25,225.81,233267.11,54163957.3
1430524800,238.97,243.58,231.73,233.21,161906.99,38691979.91
1430784000,237.73,240.25,228.24,238.97,272584.43,63776821.08
1431043200,239.96,247.87,235.77,237.73,194292.76,47141400.1
1431302400,236.38,243.95,234.07,239.96,181672.85,43861140.49
1431561600,236.23,239.17,232.36,236.38,144099.78,34181504.2
1431820800,232.02,237.77,231.27,236.23,122511.78,28804592.86
1432080000,240.37,242,231.47,232.02,166734.3,39371795.81
1432339200,237.41,242.39,235.81,240.37,92670.94,22239204
1432598400,237.32,238.99,235.58,237.41,120852.64,28796605.99
1432857600,229.84,237.89,229.13,237.32,119552.15,28016569.59
1433116800,225.59,231.76,220.97,229.84,202214.94,45604808.05
1433376000,224.74,226.71,222.15,225.59,122978.92,27712936.65
1433635200,229.56,231.36,222.21,224.74,169471.52,38538968.87
1433894400,230.46,231.58,227.84,229.56,120388.2,27708832.81
1434153600,237,238.55,229.01,230.46,134370.69,31510494.2
1434412800,248.44,258.48,235.7,237,322227.07,80031199.22
1434672000,244.1,250.81,238.7,248.44,161133.44,39526314.82
1434931200,240.56,248.6,239.05,244.1,133125.28,32561256.08
1435190400,250.73,251.57,239.32,240.56,132678.27,32429268.31
1435449600,264.12,268.73,246.62,250.73,249068.01,64082047.26
1435708800,255.4,265,252.44,264.12,148518.92,38212985.14
1435968000,269.08,277.48,253.37,255.4,171975.21,35650846.27
1436227200,269.14,273.57,263.18,269.08,135285.59,36320902.67
1436486400,310.44,315.88,266.91,269.14,284363.53,83705707.5
1436745600,283.42,310.88,276.85,310.44,267043.73,77651341.26
1437004800,274.05,290.84,243.24,283.42,238782.99,66731024.87
1437264000,275.09,281.05,271.82,274.05,125853.24,34890966.73
1437523200,288.37,289.81,273.12,275.09,151989.84,42561988.07
1437782400,293.01,295.79,284.67,288.37,142350.84,41421265.94
1438041600,287.02,296.68,284.91,293.01,144531.93,42093325.38
1438300800,281.36,288.69,275.93,287.02,124310.76,35066536.47
1438560000,281.72,285.66,278.94,281.36,129021.28,36593203.93
1438819200,258.6,281.98,257.42,281.72,158616.94,43546872.12
1439078400,269.03,269.9,258.56,258.6,157405.93,41710130.54
1439337600,265.03,271.5,260.21,269.03,165549.01,44094285.83
